Scenery,Time,Score,comment
崂山,2021/4/15,5分 超棒,还不错哦 可以来景色不错，性价比高，有趣好玩，
崂山,2021/4/15,5分 超棒,记忆中第一次爬崂山是四岁的时候坐在父亲肩头，一路“爬”到山顶，见了道士，欢欢喜喜的买了竹制小凳。质量真是好。
崂山,2021/4/14,5分 超棒,性价比高，总体超赞，有趣好玩，景色不错，
崂山,2021/4/14,5分 超棒,今天住在崂山脚下的蓝海大饭店哦(*??╰╯`?)?，能看得到崂山，远看很漂亮的哦(*??╰╯`?)?，山势雄伟真的很哦。
崂山,2021/4/14,5分 超棒,风景美、环境好
崂山,2021/4/13,4分 满意,崂山的景色自不用说，真的是美不胜收。但是只能买到通票这一点不是很满意，因为时间紧，根本不可能一天游完三个景点，虽然可以分两天游览，但是应该有单个景点的门票比较好！景色不错，有趣好玩，总体超赞，
崂山,2021/4/13,5分 超棒,值得一看。
崂山,2021/4/12,5分 超棒,总体超赞，
崂山,2021/4/11,4分 满意,景区整体很大，分好几个区域，一天都逛完很累很累
崂山,2021/4/11,5分 超棒,崂山山中住两日，不知不觉已成仙。
崂山,2021/4/11,5分 超棒,总体超赞，
崂山,2021/4/11,2分 一般,垃圾景点，导游太黑。景区门票太贵，和现在不符。
崂山,2021/4/10,4分 满意,应该说还是值得一去的地方，进入游客中心就看到有个导游服务中心，导游服务收费100元，好像还可以，在导游中心办理了登记身份证和手机号码等信息后，导游就带我准备去坐景区大巴，我问他们为什么请个导游还要登记那么多资料，他们说是体现他们手续正规，看来隐私保护意识还是很不到位。言归正传，导游开始，导游也就带我去了太清宫，讲解还可以，但去完之后，就说其他地方都不好玩了，去他们村里体验一下崂山渔村吧……之后就带我去他们村里买茶叶，虽然也不是强推，我无事也就去看了看，坐在崂山脚下的村庄茶叶店内，也知道这是套路呵呵，买完600元茶叶后，导游就送我回到游客中心，一路说崂山其他地方都不好玩了，好在我坚持要去巨峰景区，她才带我到旅游大巴那里让我自己去爬山去了。其实巨峰景区还是不错的，很值得游玩，就是山路太陡，需要很大体力，建议缆车上下。缆车到山顶后还是要爬很长很陡峭的山路的，建议大家要有心理准备。
崂山,2021/4/10,5分 超棒,海上第一名山，崂山啤酒好喝，崂山道士有名。
崂山,2021/4/9,5分 超棒,【景色】大美崂山，我们是去年十一黄金周去的青岛崂山，从太清宫进的崂山，景色真美，推荐哦！
崂山,2021/4/9,5分 超棒,海上第一名山，如果你没来过，一定要来感受一下。站在山顶看海上日出，那种海天一色的美景。
崂山,2021/4/7,5分 超棒,风景秀丽，景色迷人，值得推荐。
崂山,2021/4/7,4分 满意,崂山的仰口景区，人不算多。 坐着缆车沿山而上，一边是山峰，一边是无敌海景，十分舒服写意。山上的觅天洞，狭长的洞穴，穿过山洞，有点探险的感觉。
崂山,2021/4/7,5分 超棒,我们租车游，有一天半的时间，头天下午直接导航到崂山，进了景区然后发现那边的大巴车只能到太清和巨峰，因为只有半天就选了太清，第二天因为不知道太清巨峰是一个入口，仰口是另一个入口所以又跑去了头天去的入口，直接上了巨峰（当事人表示非常后悔）巨峰至少需要一天爬山，我们两个二十几岁年轻小伙上下都坐了缆车（缆车单程40上下单独买票的）依然累得半死，建议体力不好的人可以退下了。仰口那个入口从太清区入口过去开车都得一个小时，而且四点前才能入园，过了四点缆车和大巴车都没了，我们这次没来及去玩也是最大的遗憾。买的150的票一定要选择太清和巨峰区游玩，只能玩两天其实根本玩不完这三个区，就选两个性价比高的，巨峰性价比不高，这两个景点是趣味性最好的，巨峰主要是爬山，上面没有什么特别的景点。
崂山,2021/4/5,5分 超棒,去的时候烟雾缭绕看不了全貌，但是多了几分仙气，距离市区有点远，开车很久，且入口有好几个，都点晕。地方大的很，爬上爬下的耗费体力，有缆车也逛不完。最远的区域我弃了，下次单独去。
崂山,2021/4/5,4分 满意,崂山不适合单独出游，爬山就受不了，门票150，缆车45，还有进山去那个道教40多，罪不少受、钱不少花。建议自驾游，环海公路很美。
崂山,2021/4/5,5分 超棒,崂山有不同景点，仰口是其中之一，可乘坐地铁11号线转***车或在庙口站下车再打车过去，约30元。仰口在崂山东北角，登山后可远眺大海，景色非常优美。仰口游览后可乘坐景区游览车到达华严寺，相对来说华严寺景区较小。整体来说崂山景色不错，门前***较贵，如有时间将崂山太清，仰口，巨峰三个景区全部游览，需要两天时间，三个景区入口离得比较远。
崂山,2021/4/5,5分 超棒,清明已至，到崂山踏青赏春的游客逐渐增多，崂山茶也快上市了。
崂山,2021/4/5,4分 满意,五个景区两天业逛不完，太远了，买的联票，所以去了一天就去了流清和巨峰，两个景点必须提前预约，崂山爬山最好上午去，下午去别的景点，不然下午天黑了，回去路上容易堵车。
崂山,2021/4/4,5分 超棒,这里的风景很美很漂亮，很喜欢这个地方哦。
崂山,2021/4/4,5分 超棒,青岛著名景点 一定要去看看了，非常棒
崂山,2021/4/4,1分 不佳,就是爬山可玩性低，性价比低，
崂山,2021/4/3,5分 超棒,景色很好，美食很好，非常不错，值得推荐
崂山,2021/4/2,5分 超棒,崂山是中国海岸线第一高峰，有着海上“第一名山”之称---道教名山，令人神往！
崂山,2021/4/2,5分 超棒,崂山美景，值得一游，空气清新，环境优美。好地方！
崂山,2021/4/1,4分 满意,"崂山是青岛的地标风景旅游度假区,有很多风格迥异的建筑特色,加上美丽的海边风景,很适合情侣出游或者是家庭出行,也很适合一个人前往散散心,青岛有着浓郁的德国殖民痕迹,有很多优秀的历史文物可以参观欣赏,不错的。"
崂山,2021/4/1,5分 超棒,整体体验还不错
崂山,2021/4/1,5分 超棒,道教的圣地，有山有水的地方，漂亮。
崂山,2021/3/31,5分 超棒,景色不错，有趣好玩，性价比高，总体超赞，东海仙山，确实值得一游。 灵气逼人。 崂山太大了，要好几天慢慢游玩
崂山,2021/3/31,5分 超棒,性价比高，景色不错，
崂山,2021/3/29,4分 满意,崂山景区游览还不错 就是大巴司机开的也太快了 下山的调度服务太差，问个几点的车就像欠你的似的，态度真差！
崂山,2021/3/28,5分 超棒,挺美的，值得一去的地方，上山有观光车，方便
崂山,2021/3/28,5分 超棒,崂山北九水路线推荐去看看，有很漂亮的自然风光
崂山,2021/3/27,5分 超棒,不建议选择巨峰线路，没有景点，就是一路爬山，有红叶但是，只不过我们去的时候是冬天，就是啥都没有，但是登顶风景还可以
崂山,2021/3/27,5分 超棒,风格各异，比较喜欢一个人去看的。
崂山,2021/3/26,4分 满意,充满仙气的山，似乎有神仙，值得一去，
崂山,2021/3/23,4分 满意,崂山挺不错的…做好功课值得一去
崂山,2021/3/23,4分 满意,崂山作为山东第二名山，既有山的雄伟，又有海的秀丽，虽不及泰山有名，但是山和海的结合更加风景秀丽
崂山,2021/3/23,5分 超棒,性价比高，
崂山,2021/3/22,5分 超棒,崂山脚下的春之美，山村的美是四季的美，不分时段和地脚的美，回归自然的纯朴，美景诱人的美，让你留连忘返的美，山，水，桥，??
崂山,2021/3/22,5分 超棒,"??2020年疫情那雾霾始终不能消散，在2021年的春天里我们要走到户外来亲近大自然欣赏着春天的美景。青岛在北方所以花开得比较晚，一些没有南方的一些城市开得早，但是青岛第一波的樱花在美丽的崂山，层次更加的丰富。

??详细地址：山东省青岛市崂山区崂山风景区四水水库，大崂社区，我乐社区。

??交通攻略：自驾的话可以导航四水水库现在是可以进去的，我们周末去的时候四水的樱花还没有完全的开，山下的社区里的樱花开得比较好。公交车的话可以乘做639路车。

??开放时间：基本是全天开放的，但是还是白天下午的光线比较好。

??门票价格：完全免费的。不需要进北九水景区，因为山上的花都没有开。

??亮点特色：

1??我们没有去人更多多的大崂社区，而是选择了直接定位到四水水库，一路跟着导航到达的路上，看到很多社区的樱花树都已经开放了，很是壮观，因为不能随便停车，所以一路开到山顶的九水停车场。然后用年卡到九水随便观赏了一圈，花基本没有开。所以不建议去景区，建议直接到达是四水水库即可。我们去的时候樱花开放的还不是很多，但是有一颗白色的开得很好，站在公路旁可以拍到山水和樱花融为一体的画面天上还有一朵白云，令人心旷神怡。

2??继续下行，我们发现了在山谷中的村庄也很美，因为温度的原因山上的花普遍都没有开，所以还是去山下比较方便观赏。在上山的一个关卡，发现了一个樱花的山谷在这里登上高处拍出来的照片还是不错的。

3??山脚下的我乐社区和大崂社区的樱花，基本上都已经开放了远远的望去都是粉红色的，让人流连忘返住，驻足拍照打卡。小伙伴们前去打卡的时候樱花应该开放的会更多，景色会更加的优美。

??小Tips：自驾的时候不要随意停车，要在适当的地方停放车辆。下周末可能会有英语，所以趁着天气好的时候全家一起动起来吧。"
崂山,2021/3/21,4分 满意,景色其实一般，道观都关闭了，没参观到挺失望。
崂山,2021/3/21,5分 超棒,风景秀丽，心旷神怡
崂山,2021/3/21,2分 一般,缆车没开没上去，之前说每天都开才去的
崂山,2021/3/20,5分 超棒,风景不错，绿化率高，有山有水，空气清新
崂山,2021/3/19,5分 超棒,从小就看崂山道士，终于有一天来到青岛，来到崂山，没想到风景还很美，山连着海，海连着山，山上的风景美不胜收
崂山,2021/3/18,5分 超棒,山东省第二大高山，海上仙山。在这里你可以观看到青岛市区
崂山,2021/3/17,4分 满意,老青岛人都会说崂山是福山，靠着崂山的青岛是福地
崂山,2021/3/15,5分 超棒,青岛海边的石头山，以道士闻名。
崂山,2021/3/15,5分 超棒,崂山道士的传说给崂山蒙上了一层神秘的面纱，站在山上看海，别有一番风味
崂山,2021/3/14,4分 满意,海上名山 感觉非常不错呀！！！
崂山,2021/3/13,5分 超棒,山东著名的旅游胜地崂山，位于青岛
崂山,2021/3/11,5分 超棒,很不错的，值得推荐给你????
崂山,2021/3/11,4分 满意,还不错，挺值得去的
崂山,2021/3/9,5分 超棒,非常好 值得一去
崂山,2021/3/8,5分 超棒,去过一次，还是念念不忘呢想再去。
崂山,2021/3/8,5分 超棒,青岛，崂山，风景这边独好！值得去的地方
崂山,2021/3/7,5分 超棒,朋友2家人出游，都带着孩子，游了几个景点，这里是最美的，非常值得去
崂山,2021/3/7,4分 满意,性价比高，景色不错，
崂山,2021/3/7,5分 超棒,自认为景色还是很棒的哦 喜欢.
崂山,2021/3/6,5分 超棒,古称劳山、牢山、不其山，又名辅唐山、鳌山，位于山东省青岛市崂山区境内。为我国沿海名山之一，主峰名巨峰，俗称崂顶，海拔 1133米。道教名山。
崂山,2021/3/5,5分 超棒,单位搞活动
崂山,2021/3/5,5分 超棒,崂山确实很美，人杰地灵。但是由于分布比较散，所以去之前一定要做好功课。参观道观和登山看景不在一起，隔的还是比较远的。请合理安排出游计划。
崂山,2021/3/5,5分 超棒,海上第一名山，在崂山伤，可以看到海天一色，尤其是在山顶看日出的景色，感受很神奇。
崂山,2021/3/4,5分 超棒,特别不一样的山谷，特别不一样的清新，天然氧吧，值得一游！
崂山,2021/3/4,1分 不佳,景观价值不高，来这是被崂山道士的童话忽悠了。景区整个管理的非常乱，景区巴士要等半个小。服务中心说是景区巴士下5:30结束，结果4点就没车了。你说这多气人。记住，冬天千万别来来了，就后悔。
崂山,2021/3/2,5分 超棒,青岛市郊的崂山，名符其实的优等景区，景区内的自然景色，人文景观以及基本设施等等各种环境干净，优雅，适宜休闲，闲步转悠，身心轻松。
崂山,2021/3/1,5分 超棒,山东的著名景点，不是特别高，还是能爬上去的
崂山,2021/2/28,5分 超棒,非常值得去的地方，风景最棒的地方！
崂山,2021/2/28,5分 超棒,坐缆车上山，坐缆车上山，坐缆车上山，重要的事情说三遍！景色都在八卦阵里！
崂山,2021/2/28,5分 超棒,青岛要去的地方 嗯嗯还不错(?-ω-`)
崂山,2021/2/27,5分 超棒,崂山是胶东半岛道教名山，以山险水美，名闻天下。也是有名的清修之地
崂山,2021/2/27,5分 超棒,非常不错，值得去的地方，推荐过去
崂山,2021/2/27,5分 超棒,推荐指数五颗星，自然景观与人文景观兼具，整个崂山景区非常大，游玩线路也很多，推荐预留两三天的时间去游玩，非常放松身心，是一个来了就不想走的好地方
崂山,2021/2/27,5分 超棒,青岛崂山，风景优美，还是避暑的好去处。
崂山,2021/2/25,5分 超棒,就知道崂山啤酒，其实崂山风景区挺好的。
崂山,2021/2/22,5分 超棒,很清秀的地方，也是回忆满满的地方。
崂山,2021/2/22,5分 超棒,有山、有水，地杰人灵的好地方。
崂山,2021/2/22,5分 超棒,爬爬山還是有點小累的，但是為了高處的風景，拼了一把！
崂山,2021/2/22,5分 超棒,不错的地方，再去趟啤酒厂，啤酒配花生不错
崂山,2021/2/21,4分 满意,推荐崂山公众号购票，购票即预约。 1.巨峰 上山一定要做索道！！！体力好的除外。本人90后上班族，平常没有锻炼的习惯。以为自己可以爬上小小崂山，结果费了2小时爬到索道处，果断选择做索道下山，太辛苦了，所有建议做索道才能有力气看接下来崂顶的风景！ 2.太清?? 推荐去太清，观光车20分钟左右车程，15分钟都可以看到海，可以说是青岛最美沿海路了！ 太清比较平坦 相对平坦。 注意事项?? 因为崂山的门票是通票且有效期2日，如果一天想去两个景点记得提前预约。
崂山,2021/2/21,5分 超棒,对于附近居民来说，是个好去处！
崂山,2021/2/20,5分 超棒,很不错的，景区内索道40，风景巨美，很推荐！总体超赞，有趣好玩，景色不错，
崂山,2021/2/18,5分 超棒,还是不错的
崂山,2021/2/16,5分 超棒,好，太好了，值得一游，海上仙山第一
崂山,2021/2/16,5分 超棒,景色不错，
崂山,2021/2/14,5分 超棒,泰山虽云高，不如东海崂，名不虚传
崂山,2021/2/12,5分 超棒,曾经带着家中的老人去青岛旅游，但因为年岁大了行动不便，因而没有前往崂山。这次在同事的安排下，终于成行，并且请了土生土长于当地山村的一位导游，让我们此行了解了很多有关崂山不常听闻的知识。
崂山,2021/2/11,5分 超棒,值得。崂山很好，啤酒不错，喝点散装的！
崂山,2021/2/10,5分 超棒,景色不错，有趣好玩，性价比高，总体超赞，！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！嗯哼哈哈哈哈！嗯哼哈哈哈哈??！嗯哼哈哈哈哈??
崂山,2021/2/10,5分 超棒,有趣好玩，总体超赞，
崂山,2021/2/9,5分 超棒,风景秀丽，山下有海，崂山道士的传说脍炙人口
崂山,2021/2/8,5分 超棒,号称海上第一名山。如果你没来过，那一定好来一趟感受一下海天一色的感觉，在山上看日出海平面，有一种别样的美。在别的名山都是看不到的。
崂山,2021/2/8,5分 超棒,海上第一仙山，是值得推荐给你去体验一下的地方
崂山,2021/2/7,5分 超棒,很不错的一个地方，个人比较喜欢！
崂山,2021/2/3,5分 超棒,有趣好玩，性价比高，
崂山,2021/2/3,4分 满意,青岛崂山有山有水好地方值得一去。
崂山,2021/2/2,5分 超棒,崂山的特色主要是山海结合的自然风光与道教文化，其中山海结合的精华在“仰口游览区”，道教文化的精华在太清宫。
崂山,2021/2/2,5分 超棒,崂山是胶东著名的道教圣地，品崂山绿茶、赏崂山巨峰，是静心养性、体验大自然的好去处。
崂山,2021/2/1,5分 超棒,总体超赞，
崂山,2021/2/1,4分 满意,很美的蓝天白云，青山绿水很好的地方
崂山,2021/1/29,4分 满意,不错的风景，美丽的地方啊真的好
崂山,2021/1/29,4分 满意,和小说里的一样，传说是当年写下的
崂山,2021/1/27,5分 超棒,"不到崂山就算没到青岛，抱着这样的想法去了
从市区开过去近1小时，路况很好，轨道交通的线路和我们平行

停车免费
停车场对面就是崂山仰口景区

坐缆车上去，然后如果要到山顶，还需要再爬20分钟山，其中包括了一个单向爬行的一线天山洞"
崂山,2021/1/27,5分 超棒,一个比较有名的旅游景点，记得有个动画片叫做崂山道士。
崂山,2021/1/26,4分 满意,这个地方还挺漂亮的，有一些有意思的
崂山,2021/1/25,5分 超棒,有几个上山的索道，务必区别挑选线路。
崂山,2021/1/24,5分 超棒,山海奇观，环境清幽，景区管理非常棒。
崂山,2021/1/24,5分 超棒,景色优美，空气清新，感觉很好！
崂山,2021/1/22,5分 超棒,崂山道士的出处，风色还算不错哦。
崂山,2021/1/22,5分 超棒,来青岛如果时间充裕一定要去崂山逛逛。
崂山,2021/1/20,5分 超棒,景色不错，虽然今天天气有点不太好，但是景色依旧很漂亮??性价比高，
崂山,2021/1/20,5分 超棒,爬山路上可能有些枯燥，但是只要能坚持一定要坚持登顶，除了那种征服崂山的自豪感，更是可以领略崂山山顶的美景
崂山,2021/1/19,5分 超棒,海山名山。中国崂山道教祖庭，道教全真天下第二丛林，道教全真道分支随山派祖庭。古木参参，意境悠悠。值得一去。
崂山,2021/1/18,5分 超棒,【景色】这个地方的景色很有特点，山上好多奇石嶙峋，矗立在海边，真美呀！
崂山,2021/1/16,5分 超棒,青岛是个好地方，山清水秀又是海边。这里的风景很美，还有青岛尿道啤酒，崂山啤酒，崂山因老，哈哈哈，可以喝个够啊！来过好几次了，感觉真的很不错呢，推荐推荐推荐推荐推荐推荐推荐推荐家！
崂山,2021/1/15,5分 超棒,青岛大都市，胶东明珠！崂山如仙境，不错的旅游景点！
崂山,2021/1/15,5分 超棒,值得一去，景色不错，体力好的话还是自己爬，心情会很舒服。
崂山,2021/1/14,4分 满意,坐落在山东半岛的东南，西靠青岛，东南两面濒临黄海。
崂山,2021/1/14,5分 超棒,景色不错，总体超赞，性价比高，
崂山,2021/1/14,5分 超棒,景色怡人，可观海，可赏石。尽量不选节假日登山，人多
崂山,2021/1/14,5分 超棒,崂山 风景区比较分散，著名的就有仰口、太清宫、北九水、巨峰、华楼、流 清河 、华严寺和上清宫等
崂山,2021/1/12,5分 超棒,十一去玩的，真心不错，就是人比较多，特别是坐缆车的人，多到爆满，但是一旦坐上缆车??，悠然自得观赏山色，也是一种意境
崂山,2021/1/12,5分 超棒,风景秀丽，有着美丽的传说，山下就是海
崂山,2021/1/11,5分 超棒,我感觉非常好，首先是雨水冲渄景区根像是在仙山中漫步，喜欢旅游的朋友过来看看
崂山,2021/1/11,5分 超棒,崂山分三条旅游线路，北线北九水，东线仰口以及南线上清宫。
崂山,2021/1/10,5分 超棒,第一次见冻海，好奇特，好有趣，似岩石，含沙琥珀样之美，大爱这神奇的大自然，黄海之滨少有的景象，寒冬带来的喜悦呀，夜景遛达一次。
崂山,2021/1/10,5分 超棒,景点众多，三条路线，详细规划，各得其乐
崂山,2021/1/9,5分 超棒,不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错
崂山,2021/1/9,5分 超棒,美丽的风景
崂山,2021/1/9,5分 超棒,大美崂山，我们今年是从太清宫进入的崂山，索道上行到了山上，然后步行(●°u°●)??」下山的，一路景色很美，山上奇石嶙峋，矗立在海边，山水相映，仿佛进入画中。
崂山,2021/1/8,5分 超棒,这里的路比较好走，不太费体力。看到了《天上的街市》的石刻，它会出现在这里，我想，是源于对自由的向往吧～面朝大海，心满阳光！
崂山,2021/1/8,5分 超棒,道教名山，黄海滨上的奇险之山。
崂山,2021/1/8,5分 超棒,亲身体验了才知道好不好 有空还会再来
崂山,2021/1/8,4分 满意,来过几次崂山，不同线路的风光特色不一，都值得走一趟，去青岛必游吧！平时票价偏高。
崂山,2021/1/8,5分 超棒,开车自驾过去，海边的风景非常漂亮，一半是山，一半是海水，感觉非常棒????棒????棒????棒，下次还要带家人一起去。 【景色】
崂山,2021/1/8,5分 超棒,一边爬山一边欣赏海景山海一色非常漂亮!
崂山,2021/1/8,4分 满意,景区管理非常好。
崂山,2021/1/7,5分 超棒,总体超赞，景色不错，性价比高，
崂山,2021/1/7,5分 超棒,景色不错，总体超赞，
崂山,2021/1/7,5分 超棒,道教名山，风景奇险秀峻，名天下
崂山,2021/1/6,5分 超棒,挺好的坐缆车
崂山,2021/1/6,5分 超棒,性价比高，有趣好玩，景色不错，
崂山,2021/1/5,5分 超棒,很有特色的一座山，好像是鹅卵石垒起来的，站在山顶看海更是美不胜收！
崂山,2021/1/5,4分 满意,"自驾过去的，崂山很大，有好多入口，我们因为时间有限的原因只选了一部分行程。


仰口索道这边的缆车，还是以前很早的那种，双腿悬空的缆车，别有一番滋味。


缆车上去就需要爬一点点路，少了登山健身的感觉。山上有一只猴子，一副瞧不起人的样子，怕是游客见多了，很有意思。"
崂山,2021/1/5,4分 满意,自驾过去的，崂山很大，有好多入口，我们因为时间有限的原因只选了一小段行程。仰口索道这边的缆车，还是以前很早的那种，双腿悬空的缆车，别有一番滋味。缆车上去就需要爬一点点路，少了登山健身的感觉。山上有一只猴子，一副瞧不起人的样子，怕是游客见多了，很有意思。
崂山,2021/1/3,5分 超棒,饶山确实是个好地方，上清水秀，人杰地灵。
崂山,2021/1/3,5分 超棒,崂山的日出是一绝，云海也是第二绝
崂山,2021/1/2,4分 满意,纯打卡，景色一般
崂山,2021/1/2,5分 超棒,很好景色不错，
崂山,2021/1/2,5分 超棒,好的收到回复，谢谢
崂山,2021/1/2,5分 超棒,面对黄海万里海疆，居高临下，俯瞰鳞鳞闪着波光的蓝色海洋。
崂山,2021/1/1,5分 超棒,崂山位于山东省青岛市崂山区，距离青岛市中心40公里。崂山古代又曾称牢山、劳山、鳌山等。它是山东半岛的主要山脉，崂山的最高峰名为巨峰，又称崂顶。
崂山,2021/1/1,5分 超棒,非常漂亮的地方啊，环境优雅，值得来看看
崂山,2020/12/30,4分 满意,后好好好好！
崂山,2020/12/29,5分 超棒,这里的日出也很美的，太漂亮了。
崂山,2020/12/29,5分 超棒,恩，景色很漂亮的，非常值得去！
崂山,2020/12/29,5分 超棒,其实山不怎么高，但是在海边就很高了
崂山,2020/12/28,4分 满意,这里的风景还不错，挺漂亮的了。
崂山,2020/12/28,4分 满意,有趣好玩，
崂山,2020/12/28,5分 超棒,崂山屹立于黄海之滨，为中华大地增添风采，其自然景观与人文景观相辉映，各种名胜遍布全山。崂山有着海上“第一名山”之称，形成了一座独特的山峦，与大海相连，海上看山，群峰聚集群，云雾盘旋，登山看海，烟波漫漫，水天一色。山脚下美丽的海岸线也让人陶醉。
崂山,2020/12/27,5分 超棒,有趣好玩，总体超赞，景色不错，性价比高，
崂山,2020/12/26,5分 超棒,很美的景色，山上可看到海天一色，很漂亮
崂山,2020/12/26,4分 满意,值得一去的景点，就是交通不太方便
崂山,2020/12/26,4分 满意,崂山啤酒确实挺有名气的啊，气流纺
崂山,2020/12/25,5分 超棒,我国著名的山川，也是集道教文化历史和自然风景名胜区为一体的综合旅游名胜区，建议大家要在这里游玩两天，基本上可以游遍崂山。
崂山,2020/12/25,5分 超棒,风景优美！好似一幅美丽的画卷！
崂山,2020/12/24,5分 超棒,还是不错的，景色很好，海边挺出片的，就是整个景区太大了深度游玩需要至少3天时间。
崂山,2020/12/23,5分 超棒,青岛的崂山是能跟泰山媲美的存在，
崂山,2020/12/22,5分 超棒,崂山，位于青岛市，最高峰名为巨峰又称崂顶，海拔1132.7米，峰顶面积约1.5平方公里，为崂山的主峰。崂山是中国海岸线第一高峰，有着海上“第一名山”之称。当地有一句古语说：“泰山虽云高，不如东海崂。”
崂山,2020/12/21,5分 超棒,爬起来挺累的，不过景色很好。我们是饶了整个山，坐索道上走下来的一共花费五个小时左右。 如果体力有限，推荐往返隧道，爬到摘星楼就可以下山了，摘星楼附近的景色是最美的，
崂山,2020/12/20,5分 超棒,靠海的城市很不错，夏天来啤酒节爽的
崂山,2020/12/20,5分 超棒,值得一去！
崂山,2020/12/20,5分 超棒,有趣好玩，
崂山,2020/12/20,5分 超棒,青岛崂山风景名胜区位于山东省青岛市，是国务院首批审定公布的国家重点风景名胜区之一、中国重要的海岸山岳风景胜地、国家AAAAA级旅游景区。 崂山风景区由巨峰、流清、太清、棋盘石、仰口、北九水、华楼等9个风景游览区和沙子口、王哥庄、北宅、夏庄、惜福镇等 5个风景恢复区及外缘陆海景点三部分组成。 崂山是山东半岛的主要山脉，最高峰崂顶海拔1133米，是中国海岸线第一高峰，有着海上“第一名山”之称。它耸立在黄海之滨，高大雄伟。当地有一句古语说：“泰山云虽高，不如东海崂。” 山光海色，道教名山。 山海相连，山光海色，正是崂山风景的特色。 在全国的名山中，唯有崂山是在海边拔地崛起的。绕崂山的海岸线长达87公里，沿海大小岛屿18个，构成了崂山的海上奇观。崂山是我国著名的道教名山，保存下来的以太清宫的规模为最大，历史也最悠久。
崂山,2020/12/19,5分 超棒,我国5A级旅游景点，著名山峰，集自然山水风光和道教文化为一体的旅游胜地，在这里我们能亲眼看见传说中的崂山道士，感受丰富的道教文化。
崂山,2020/12/19,5分 超棒,风景秀丽，景色迷人！崂山啤酒特色好喝。
崂山,2020/12/19,1分 不佳,风景很美，神州大地山河壮丽。只是下山的时候不知道什么原因等了10多分钟
崂山,2020/12/17,5分 超棒,一个美丽的海滨城市，记得很久以前有个动画片崂山道士不知道和崂山有没有关系？
崂山,2020/12/17,5分 超棒,景色不错，
崂山,2020/12/17,5分 超棒,崂山位于山东省青岛市的崂山区，有着“海上第一名山”之称。
崂山,2020/12/17,5分 超棒,青岛必打卡
崂山,2020/12/13,5分 超棒,性价比高，景色不错，
崂山,2020/12/12,5分 超棒,海边的仙山非常美丽，在这里第一次爬山没有恐高的反应。
崂山,2020/12/11,5分 超棒,我国不多的依山伴海的风景名胜区，崂山以绚丽多彩的山水风光闻名于世，还有丰厚的道教文化遗产，更给这里增添无数的魅力，也是青岛旅游一个重要的景点。
崂山,2020/12/11,5分 超棒,景色优美怡人，值得去看，尤其是水，很清澈
崂山,2020/12/11,5分 超棒,风景优美。
崂山,2020/12/11,1分 不佳,有待改进，道士也不能穿墙了，就知道骗钱看相。还***的。
崂山,2020/12/9,4分 满意,景色不错，门票太贵了！还分段，各处都有另外的门票。
